  NIT   NF   F                       GTG
    0    1  1.318490774151564E+04   1.67515777E+09
tnc: fscale = 2.26288e-05
    1    4  3.794168318066518E+03   9.98641442E+07
    2    7  3.443911830495839E+03   1.95390415E+06
tnc: fscale = 0.000667721
    3   13  3.099491807808921E+03   1.18964171E+07
    4   16  2.964612900630227E+03   2.00909850E+07
    5   25  2.292127847175852E+03   1.17361108E+08
    6   30  2.225648081798146E+03   2.86155276E+08
    7   37  1.678146588743469E+03   1.12828180E+07
    8   47  1.261322254478416E+03   2.55177300E+07
    9   51  1.212438456889053E+03   1.58488816E+06
   10   61  1.130931545953249E+03   3.34687468E+07
   11   65  1.017470948966183E+03   8.88039865E+07
   12   72  9.663332232612510E+02   5.94078215E+06
   13   82  8.492661774381254E+02   2.65799359E+07
   14   89  7.319642399594547E+02   1.40109889E+07
   15   97  6.231414645020343E+02   2.16981973E+07
   16  103  5.762759249167151E+02   5.63855783E+07
   17  113  5.107425162962768E+02   2.60065808E+08
   18  121  4.743580095279419E+02   3.79905359E+07
   19  134  4.167605139766265E+02   1.25090510E+08
   20  137  4.058922913389795E+02   1.10100757E+07
   21  141  4.033726023550144E+02   8.17472481E+05
   22  148  3.895205908951590E+02   2.29659155E+06
   23  157  3.755064499906848E+02   9.18947694E+06
   24  168  3.620660186189303E+02   2.64608558E+07
   25  178  3.517309067704654E+02   3.45321728E+06
   26  188  3.443387571173034E+02   1.39661517E+07
   27  205  3.353547216049120E+02   1.18180911E+07
   28  218  3.254204700064694E+02   2.17789142E+07
   29  221  3.191246051171582E+02   7.72190379E+06
   30  225  3.127264413452155E+02   2.20073575E+07
   31  234  2.999200453949546E+02   3.43809115E+05
   32  249  2.921650970795221E+02   3.08410708E+07
   33  255  2.831178451648722E+02   1.33844094E+06
   34  268  2.690423562690377E+02   2.13686437E+07
   35  273  2.650603172751292E+02   7.56376279E+05
   36  282  2.570925215531020E+02   1.64783079E+07
   37  285  2.559973508676986E+02   7.40726102E+05
   38  302  2.390501078299965E+02   3.75977248E+07
   39  308  2.309598264291123E+02   6.82660407E+06
   40  318  2.224799314530573E+02   2.99181535E+07
   41  325  2.017167676065558E+02   4.74371780E+06
   42  339  1.869435387740335E+02   4.85439625E+07
   43  347  1.717989229712276E+02   5.44656077E+05
   44  359  1.555054304249219E+02   3.06117598E+07
   45  368  1.443302691490714E+02   1.15942840E+06
   46  374  1.387067560988218E+02   1.57621146E+07
   47  378  1.349798414826998E+02   3.24028679E+05
   48  383  1.314680019145682E+02   2.10755122E+06
   49  393  1.222800489634364E+02   3.59977494E+06
   50  400  1.166953737519043E+02   2.76737844E+06
   51  416  1.081324978154521E+02   2.19101333E+07
   52  433  1.015658598307462E+02   5.11511297E+05
   53  443  9.647769602065190E+01   9.05627673E+06
   54  454  8.854630388085113E+01   2.28998756E+07
   55  466  8.636198769441960E+01   3.98475098E+05
   56  476  8.245241851332565E+01   9.03930818E+06
   57  482  7.924277331896947E+01   1.43386457E+06
   58  485  7.885504533950834E+01   3.35423511E+05
   59  490  7.828741859721350E+01   8.78258764E+05
   60  504  7.439408988260391E+01   1.12405834E+07
   61  507  7.262728384729013E+01   1.35813035E+06
   62  524  6.926890668633067E+01   7.09095114E+06
   63  540  6.796436246611610E+01   1.47344200E+05
   64  562  6.679131473890484E+01   6.87921784E+06
   65  572  6.458727613821981E+01   2.03844380E+05
   66  579  6.351192931857221E+01   3.82381058E+06
   67  586  6.237848815755718E+01   4.89670115E+06
   68  599  5.957816612064889E+01   4.30705571E+06
   69  612  5.789373342435276E+01   6.58061691E+05
   70  631  5.285884587417978E+01   1.96488775E+07
   71  642  5.116065221611619E+01   8.54445358E+05
   72  653  4.801240696674085E+01   9.51536693E+06
   73  661  4.569201595237583E+01   3.53540104E+05
   74  678  4.230401880668163E+01   1.91451185E+07
   75  681  4.031706332243199E+01   7.08791033E+06
   76  691  3.852988187487588E+01   4.53381540E+05
   77  701  3.688283447871174E+01   8.03908639E+06
   78  704  3.573544018665820E+01   3.61123887E+05
   79  725  3.169733519077691E+01   1.08166779E+07
   80  735  2.902502016469859E+01   1.57180354E+06
   81  752  2.571515469798368E+01   2.15309784E+06
   82  760  2.423184232157027E+01   5.45549706E+04
   83  768  2.351842561139911E+01   3.65102022E+05
   84  782  2.185450426856180E+01   4.73902452E+06
   85  787  2.126970979145329E+01   4.72313954E+04
   86  794  2.106537011503405E+01   2.03475053E+05
   87  803  2.048980369240520E+01   4.39717555E+04
   88  815  1.963399583771539E+01   7.43268245E+04
   89  831  1.882221545844515E+01   1.93103038E+06
   90  834  1.864238068285791E+01   1.11229483E+04
   91  843  1.830362663317042E+01   5.80679667E+05
   92  851  1.799875851331439E+01   8.48669273E+04
   93  859  1.774998844914725E+01   8.53690547E+04
   94  867  1.745232637131491E+01   8.13854726E+03
   95  875  1.725077593765961E+01   1.39591802E+04
   96  883  1.706448893415754E+01   1.70338479E+05
   97  891  1.684806662794845E+01   4.05798587E+04
   98  898  1.665679040788601E+01   2.32375442E+04
   99  905  1.652316975658094E+01   4.97220269E+04
  100  913  1.634758964399705E+01   1.80933574E+05
  101  921  1.603446776022813E+01   2.14660588E+04
  102  924  1.598909924859439E+01   2.66412592E+03
tnc: fscale = 0.0175305
  103  931  1.594345467955554E+01   2.46310603E+03
  104  941  1.573722429667350E+01   1.82016465E+04
  105  950  1.557740840246952E+01   5.57729640E+04
  106  957  1.548455680004614E+01   4.90820379E+03
  107  967  1.533633416310003E+01   1.44554080E+04
  108  976  1.522321296452392E+01   4.56771728E+04
  109  985  1.513737469636046E+01   3.67667234E+03
  110  994  1.504434438577565E+01   5.90151124E+04
  111 1003  1.493017722804579E+01   1.27820318E+04
  112 1026  1.469912224328324E+01   6.20581582E+05
  113 1029  1.452553964249025E+01   9.27952571E+05
  114 1041  1.430352080493508E+01   3.77991659E+04
  115 1046  1.421953885620075E+01   5.36900832E+04
  116 1062  1.402317471298051E+01   1.71705144E+05
  117 1065  1.396888890094977E+01   1.16724733E+04
  118 1070  1.392128253370684E+01   1.32740588E+04
  119 1078  1.385397775444654E+01   2.15594000E+05
  120 1093  1.362681314984285E+01   3.09064959E+03
  121 1111  1.339214541039926E+01   1.39677253E+05
  122 1119  1.331277900685898E+01   1.51815283E+05
  123 1130  1.324423758629563E+01   4.04003065E+04
  124 1143  1.307774693271170E+01   1.72716820E+04
  125 1154  1.302503269054715E+01   5.73995253E+03
  126 1163  1.298039793943214E+01   5.27900145E+02
  127 1172  1.294110193953193E+01   3.41930327E+03
  128 1181  1.287640775809279E+01   1.23573395E+04
  129 1197  1.265803687979995E+01   4.42478764E+04
  130 1200  1.264430952572152E+01   3.77232469E+03
  131 1209  1.257326461490005E+01   1.24220572E+03
  132 1212  1.255858660353384E+01   5.62723456E+03
  133 1221  1.249505119325954E+01   4.04264147E+03
  134 1230  1.244649352086210E+01   1.82326567E+04
  135 1244  1.234252449029455E+01   2.39763804E+04
  136 1253  1.230858596960582E+01   1.25959602E+03
  137 1262  1.226189669411989E+01   7.61116243E+03
  138 1269  1.221997036300312E+01   9.13448845E+03
  139 1279  1.215518002821999E+01   3.73735924E+04
  140 1305  1.199057541980439E+01   2.46478178E+05
  141 1310  1.194918658293186E+01   8.65739888E+02
  142 1319  1.191336626103736E+01   2.14172541E+04
  143 1350  1.184773840867917E+01   2.64378709E+05
  144 1355  1.179537468113870E+01   1.07958593E+05
  145 1364  1.175165817405629E+01   5.49371808E+04
  146 1371  1.172346174227736E+01   3.36971648E+04
  147 1380  1.170153631326574E+01   1.17055248E+04
  148 1393  1.161145602400166E+01   8.62420668E+04
  149 1402  1.156865638399743E+01   1.86847282E+04
  150 1410  1.153087869665310E+01   2.08234704E+04
  151 1423  1.147593387158187E+01   2.68807518E+04
  152 1442  1.135541714727754E+01   6.30596206E+04
  153 1450  1.131507739587558E+01   8.57927605E+04
  154 1453  1.130795694923831E+01   5.78848748E+02
  155 1469  1.120551999014078E+01   5.27794487E+04
  156 1483  1.111512890797642E+01   2.55402451E+03
  157 1492  1.108423967180164E+01   4.13054514E+03
  158 1501  1.105109659709678E+01   1.52147727E+04
  159 1510  1.101546508708505E+01   2.84028191E+04
  160 1519  1.097939902492164E+01   2.76467876E+03
  161 1528  1.095342609008190E+01   1.31627313E+04
  162 1536  1.091385387244031E+01   4.11516403E+03
  163 1545  1.088329481072838E+01   2.46123524E+04
  164 1554  1.086070728881470E+01   8.20215480E+02
  165 1563  1.083926822862298E+01   9.86561580E+03
  166 1572  1.081522154877314E+01   2.23621713E+04
  167 1580  1.078754200307316E+01   1.55215667E+03
  168 1589  1.076784297061107E+01   2.81419268E+02
  169 1592  1.076512734160178E+01   9.69438993E+02
  170 1601  1.074368806476339E+01   4.08844212E+03
  171 1610  1.072956410887607E+01   2.57635905E+02
  172 1624  1.070444361433237E+01   2.36733827E+03
  173 1638  1.066541800267422E+01   1.60415692E+03
  174 1647  1.064067505021339E+01   2.37258863E+03
  175 1655  1.061393399114319E+01   1.26851195E+04
  176 1664  1.058647704833805E+01   1.01211633E+04
  177 1680  1.052965334680446E+01   6.47231761E+04
  178 1695  1.046947809363698E+01   1.68193770E+04
  179 1703  1.045082874959476E+01   2.15882328E+04
  180 1711  1.042933123138060E+01   3.01016128E+04
  181 1720  1.040762953797195E+01   1.63337582E+02
  182 1729  1.039488068294741E+01   1.52195672E+03
  183 1738  1.038297683619305E+01   2.82527732E+03
  184 1747  1.036721854188069E+01   4.21898694E+02
  185 1756  1.035170069898169E+01   1.86312234E+02
  186 1765  1.034071431644632E+01   2.00145577E+03
  187 1775  1.032126251787663E+01   5.85114227E+03
  188 1784  1.030773259032531E+01   1.13184978E+03
  189 1793  1.029306226835450E+01   8.71149000E+02
  190 1802  1.027581933535470E+01   1.63833837E+03
  191 1811  1.025652837065783E+01   6.66488256E+02
  192 1825  1.020427897286648E+01   1.99606909E+04
  193 1833  1.018586045518217E+01   2.86691266E+04
  194 1841  1.017032106944778E+01   3.20832304E+04
  195 1855  1.012126422497521E+01   7.36104872E+04
  196 1864  1.010151926719792E+01   3.02987851E+02
  197 1873  1.008243171154628E+01   5.47156333E+03
  198 1892  1.002438180154699E+01   1.21490583E+05
  199 1896  1.001386662393081E+01   2.11802290E+02
  200 1900  1.001016532048843E+01   3.94581434E+03
  201 1915  9.976934694253414E+00   7.19272147E+02
  202 1932  9.955294046401910E+00   1.10011249E+02
  203 1948  9.923699839659939E+00   5.26964546E+03
  204 1957  9.911861162760063E+00   5.40689243E+02
  205 1967  9.900174179213121E+00   2.72764735E+02
  206 1981  9.874638679774623E+00   8.59069008E+03
  207 1989  9.868103724815702E+00   1.26858498E+03
  208 2004  9.847045154060586E+00   1.14365130E+03
  209 2017  9.827247442459276E+00   8.32814983E+03
  210 2038  9.767800933235486E+00   4.80890801E+04
  211 2043  9.749587324376391E+00   1.19343739E+03
  212 2057  9.710626030884990E+00   1.03371866E+03
  213 2071  9.674557386135669E+00   3.53117754E+03
  214 2085  9.636019617925509E+00   2.80791482E+02
  215 2099  9.605385194530793E+00   1.99250068E+03
  216 2108  9.594295134013835E+00   7.15185457E+03
  217 2117  9.578912205917234E+00   2.70005802E+03
  218 2125  9.563418802426748E+00   4.26936215E+02
  219 2139  9.537650992185782E+00   4.00979627E+03
  220 2148  9.527413673633383E+00   1.79168217E+03
  221 2162  9.501970908798599E+00   4.49691006E+03
  222 2171  9.491464157316603E+00   2.36141823E+04
  223 2180  9.477658084960156E+00   4.53496211E+02
  224 2189  9.467268121121402E+00   1.26088175E+03
  225 2197  9.455173731740022E+00   4.06827499E+03
  226 2205  9.444524825199121E+00   6.71160045E+03
  227 2212  9.436136077246953E+00   5.14443922E+02
  228 2226  9.406962031900472E+00   1.72510680E+03
  229 2235  9.399310027864432E+00   6.26360292E+03
  230 2243  9.386337428424165E+00   1.12970541E+04
  231 2251  9.374671048731534E+00   1.86958830E+03
  232 2260  9.365092137944217E+00   4.25089999E+02
  233 2263  9.363364776204712E+00   2.36012520E+03
  234 2272  9.351695345732324E+00   1.31025727E+02
  235 2285  9.333542637369431E+00   1.49432502E+03
  236 2293  9.328907014600615E+00   2.41436241E+03
  237 2302  9.321020585492859E+00   1.15576842E+03
  238 2311  9.313659313395904E+00   2.70353455E+03
  239 2325  9.298210631781393E+00   1.66779284E+03
  240 2339  9.279967594821297E+00   7.35163432E+03
  241 2348  9.271592513841053E+00   7.68821590E+02
  242 2356  9.262997542781111E+00   5.60926795E+02
  243 2369  9.248866371791456E+00   1.85518298E+03
  244 2377  9.243333084943933E+00   4.39475456E+03
  245 2390  9.228910142619679E+00   8.19926221E+03
  246 2404  9.209866145098138E+00   1.04847996E+04
  247 2412  9.204525540991996E+00   8.10083190E+03
  248 2420  9.193632677964699E+00   9.59898455E+03
  249 2429  9.185750749978492E+00   1.23006183E+03
  250 2437  9.180234746622327E+00   1.30053912E+03
  251 2446  9.171934149261082E+00   2.88274210E+02
  252 2455  9.165024039863477E+00   1.86380831E+03
  253 2464  9.157734321132727E+00   6.73714513E+02
  254 2478  9.139953424551500E+00   1.51052401E+03
  255 2487  9.133748611445416E+00   4.23012152E+02
  256 2496  9.123535600229101E+00   1.02031211E+03
  257 2505  9.117017884992004E+00   4.58030251E+02
  258 2514  9.106722721885285E+00   9.07990216E+03
  259 2523  9.098449875256946E+00   1.61188185E+02
  260 2532  9.090102805544062E+00   2.77019033E+03
  261 2542  9.078515420903209E+00   2.24795717E+03
  262 2551  9.067105307305823E+00   4.33372175E+02
  263 2560  9.056544566289249E+00   6.04868823E+03
  264 2568  9.047769179128395E+00   3.24781788E+03
  265 2577  9.035571654718309E+00   5.37636913E+03
  266 2590  9.014462282112465E+00   4.10974815E+04
  267 2593  9.012035077119990E+00   1.58320812E+02
  268 2610  8.986193094220756E+00   5.67015091E+03
  269 2620  8.974857275647150E+00   1.09991331E+03
  270 2646  8.935273793396183E+00   4.97045486E+04
  271 2651  8.927909523785232E+00   3.41654247E+02
  272 2669  8.901901419659019E+00   6.42081716E+02
  273 2678  8.893069236474000E+00   5.38578851E+03
  274 2686  8.884632153708738E+00   9.35501078E+03
  275 2695  8.876680195681674E+00   9.38518487E+02
  276 2704  8.864208673414007E+00   2.23042837E+03
  277 2713  8.855217972494323E+00   7.69424944E+02
  278 2722  8.843931105272977E+00   4.18498098E+03
