  NIT   NF   F                       GTG
    0    1  3.481307186876015E+04   9.55439770E+08
tnc: fscale = 3.05482e-05
    1    4  8.588817683866077E+03   2.32887351E+08
    2    9  6.484017748768385E+03   6.00313319E+06
    3   17  4.905086035765289E+03   5.18746442E+07
    4   23  3.372077722332602E+03   3.11926088E+08
    5   30  2.522366433521237E+03   2.64731425E+08
    6   39  1.816154970808595E+03   3.66752752E+07
    7   43  1.646580197315036E+03   1.61358353E+06
tnc: fscale = 0.000711295
    8   46  1.624864935579038E+03   1.48196145E+06
    9   58  1.422062047642849E+03   1.09013125E+07
   10   68  1.291185205213143E+03   2.17929886E+07
   11   76  1.139800171595080E+03   2.17610410E+06
   12   85  1.103261900588108E+03   1.28554785E+07
   13   90  1.063346680176453E+03   1.67592476E+07
   14   96  1.028772237427455E+03   3.57646878E+06
   15  106  9.846813755530779E+02   1.61603247E+06
   16  117  8.424985176023248E+02   3.88979409E+06
   17  125  7.819349625653927E+02   1.32679192E+06
   18  135  6.717574310816964E+02   2.81570376E+06
   19  149  5.677128382218090E+02   1.27076600E+07
   20  153  5.396197941871483E+02   9.83188911E+06
   21  163  4.883734973143430E+02   1.27711083E+06
   22  166  4.706791633976451E+02   1.96036831E+06
   23  174  4.424346445457132E+02   4.15764363E+06
   24  183  3.974562074156757E+02   2.60894507E+07
   25  189  3.234805700247243E+02   1.28248527E+07
   26  199  2.670157961258493E+02   3.73069103E+06
   27  207  2.158126037868750E+02   4.45650338E+06
   28  217  1.872841310928426E+02   5.38184165E+05
   29  232  1.454189831350292E+02   4.50822866E+05
   30  245  1.182823188530158E+02   2.74238100E+06
   31  260  9.771478052469429E+01   1.30962251E+06
   32  272  8.310052861777311E+01   1.25333885E+06
   33  290  7.116356872958023E+01   3.90146606E+05
   34  302  6.080930813843806E+01   7.04043396E+04
   35  314  5.192603904104131E+01   3.71733000E+05
   36  334  4.349534838601937E+01   1.10883287E+06
   37  348  3.688371441245935E+01   2.15375419E+05
   38  367  3.126998386593108E+01   1.93964075E+05
   39  371  2.910514271904331E+01   1.64364131E+05
   40  380  2.663982312616999E+01   1.82228456E+05
   41  390  2.451234411949321E+01   3.79974754E+04
   42  401  2.203979094867978E+01   2.20086584E+04
   43  404  2.188074208539505E+01   1.06264923E+04
   44  417  1.997783923307546E+01   6.58213234E+04
   45  427  1.903147118193420E+01   3.10329163E+04
   46  437  1.791500327100261E+01   9.96882556E+03
   47  447  1.668098487674306E+01   1.77292051E+04
   48  463  1.407635087164089E+01   5.65948816E+04
   49  473  1.298501293060532E+01   8.96381469E+03
   50  483  1.207267188264000E+01   2.85083660E+03
tnc: fscale = 0.0159788
   51  491  1.185663764652146E+01   6.77422815E+03
   52  502  1.124761782798332E+01   2.19942795E+03
   53  512  1.063452119692210E+01   1.24656910E+04
   54  548  9.651130948550222E+00   2.78086161E+05
   55  553  9.210033772969505E+00   4.12858039E+05
   56  556  8.732118152126766E+00   1.11797387E+04
   57  567  7.996280692057341E+00   1.10401448E+05
   58  570  7.774897549849037E+00   8.72555424E+03
   59  586  6.782552929959618E+00   3.81129450E+04
   60  604  5.659629656026588E+00   1.16207410E+04
   61  614  5.172056080344728E+00   2.64738382E+04
   62  643  4.589822289816054E+00   1.11534321E+05
   63  646  4.360541392765843E+00   1.83054565E+05
   64  649  4.178516029223365E+00   2.13490241E+03
   65  657  3.916474765430087E+00   1.38235428E+04
   66  666  3.742920958769880E+00   9.18872831E+03
   67  677  3.505376818434972E+00   6.88961723E+03
   68  699  3.050123513905590E+00   6.11084586E+04
   69  703  2.966349470841834E+00   1.99137661E+03
   70  726  2.539488454822253E+00   6.64172406E+03
   71  738  2.378378835792284E+00   1.61571822E+03
   72  759  2.131094988141438E+00   1.14772992E+04
   73  771  2.012467951013055E+00   3.19261508E+02
   74  775  1.996117017497160E+00   5.28629963E+02
   75  790  1.876475436956271E+00   5.59867323E+03
   76  801  1.801651414882107E+00   1.48291275E+03
   77  827  1.618961209619525E+00   3.03435173E+03
   78  839  1.542875534612387E+00   2.27195356E+02
   79  857  1.447848812546479E+00   8.17507562E+03
   80  867  1.389090247239198E+00   7.31289250E+02
   81  885  1.282300768388641E+00   3.67775603E+03
   82  888  1.272932046400709E+00   6.49713237E+02
   83  905  1.168668209728525E+00   1.30511759E+03
   84  921  1.095676969880039E+00   3.07182251E+02
   85  925  1.089807910819469E+00   1.90280067E+02
   86  936  1.049511779439421E+00   7.12882603E+01
   87  953  9.877632360756865E-01   5.68607908E+02
   88  974  9.134315765090122E-01   9.22957215E+02
   89  989  8.686254231880755E-01   2.34769330E+02
   90 1016  8.043497390375822E-01   1.49036038E+03
   91 1019  7.977353619832099E-01   5.91035284E+02
   92 1043  7.409852221044775E-01   7.42102002E+02
   93 1054  7.174969148928361E-01   7.99901586E+02
   94 1065  6.945900269341642E-01   8.96460002E+01
   95 1077  6.741209452814031E-01   5.87124785E+02
   96 1088  6.598018172097991E-01   3.59055523E+02
   97 1103  6.334975591512124E-01   4.33068944E+02
   98 1116  6.105177071304013E-01   2.59043631E+02
   99 1127  5.909867006477408E-01   5.86913296E+02
  100 1138  5.743817881871858E-01   1.17645661E+03
  101 1153  5.497558327048284E-01   8.62486504E+01
  102 1171  5.244530235010358E-01   6.69421851E+01
  103 1187  5.034414143543152E-01   1.80725044E+02
  104 1202  4.812873463161267E-01   2.69832686E+01
  105 1217  4.656790794076375E-01   1.04761617E+02
  106 1229  4.541094061830710E-01   1.28698476E+02
  107 1247  4.350297956532874E-01   3.06908606E+02
  108 1258  4.261920085582705E-01   5.44902401E+02
  109 1269  4.151331898407977E-01   1.35067307E+02
  110 1290  3.926226533762224E-01   2.38074060E+02
  111 1302  3.844206589065501E-01   4.07090975E+01
  112 1313  3.756612715409101E-01   1.13272914E+02
  113 1329  3.624138737898991E-01   1.53858298E+02
  114 1354  3.384020801674327E-01   4.25577026E+02
  115 1365  3.319899929911533E-01   1.75773193E+02
  116 1376  3.262483843860280E-01   4.68297211E+01
  117 1410  3.030428730172259E-01   1.26505829E+03
  118 1421  2.976654776907057E-01   7.14511489E+01
  119 1444  2.834555436632449E-01   2.05729619E+02
  120 1465  2.704531653188944E-01   3.58783975E+01
  121 1483  2.601690361570118E-01   8.95966174E+01
